행정구역별,서울 종로구,서울 중구,서울 용산구,서울 성동구,서울 광진구,서울 동대문구,서울 중랑구,서울 성북구,서울 강북구,서울 도봉구,서울 노원구,서울 은평구,서울 서대문구,서울 마포구,서울 양천구,서울 강서구,서울 구로구,서울 금천구,서울 영등포구,서울 동작구,서울 관악구,서울 서초구,서울 강남구,서울 송파구,서울 강동구
15세이상인구 (천명),137.8,119.3,203.5,256.9,317.8,315.8,346.0,391.1,265.5,277.4,443.6,410.3,286.8,330.5,372.1,500.9,371.9,223.1,356.9,353.3,462.6,336.2,442.3,562.1,393.2
경제활동인구 (천명),81.2,72.4,128.3,156.5,198.5,186.1,202.0,221.3,144.0,158.0,251.3,238.3,159.6,208.0,223.7,310.8,229.3,140.1,228.4,215.0,282.1,195.6,264.4,345.3,244.9
취업자 (천명),78.3,69.4,122.8,150.1,190.7,178.5,193.5,211.0,137.0,150.3,242.2,227.9,152.8,201.6,214.3,297.9,221.6,133.1,219.3,204.4,268.7,189.3,255.6,332.0,235.8
실업자 (천명),2.8,3.0,5.5,6.3,7.8,7.7,8.5,10.4,7.0,7.7,9.1,10.4,6.9,6.4,9.3,12.9,7.6,7.0,9.0,10.6,13.4,6.3,8.8,13.3,9.1
실업자(C.V.),*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
비경제활동인구 (천명),56.6,46.9,75.2,100.4,119.3,129.6,144.0,169.7,121.5,119.4,192.3,172.0,127.2,122.5,148.4,190.1,142.6,83.0,128.5,138.3,180.5,140.6,177.9,216.9,148.3
경제활동참가율 (％),58.9,60.7,63.0,60.9,62.4,59.0,58.4,56.6,54.3,57.0,56.7,58.1,55.7,62.9,60.1,62.0,61.6,62.8,64.0,60.9,61.0,58.2,59.8,61.4,62.3
고용률 (%),56.9,58.2,60.3,58.4,60.0,56.5,55.9,53.9,51.6,54.2,54.6,55.6,53.3,61.0,57.6,59.5,59.6,59.7,61.5,57.9,58.1,56.3,57.8,59.1,60.0
15~64세 고용률 (%),64.7,65.7,69.5,66.8,66.5,64.3,65.5,61.7,61.1,64.2,62.9,64.2,61.7,69.0,64.8,68.2,68.3,67.7,69.6,66.2,65.8,64.7,65.2,66.9,68.3
실업률 (％),3.5,4.1,4.3,4.1,3.9,4.1,4.2,4.7,4.9,4.8,3.6,4.3,4.3,3.1,4.2,4.1,3.3,5.0,3.9,4.9,4.8,3.2,3.3,3.8,3.7
실업률(C.V.),*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
